0.4495 1.38499421045 [899, 1118, 179]
0.047 5.22565659543 [94, 693, 1883]
0.1305 1.59277279364 [261, 1008, 268]
0.115 2.25308909513 [230, 448, 562]


0.4495 1.38499421045 [899, 1118, 179]
0.1305 1.59277279364 [261, 1008, 268]
0.115 2.25308909513 [230, 448, 562]
0.011 2.55324986667 [22, 625, 692]
0.0055 2.07985705464 [11, 1576, 481]
0.6535 1.18044642236 [1307, 1364, 89]


0.4495 1.38499421045 [899, 1118, 179]
0.1305 1.59277279364 [261, 1008, 268]
0.011 2.55324986667 [22, 625, 692]
0.0055 2.07985705464 [11, 1576, 481]
0.6535 1.18044642236 [1307, 1364, 89]


0.1305 1.59277279364 [261, 1008, 268]
0.0055 2.07985705464 [11, 1576, 481]
0.6535 1.18044642236 [1307, 1364, 89]
0.0625 1.18514864257 [125, 370, 85]
0.1755 1.01974649078 [351, 1164, 13]
0.036 1.59987463955 [72, 868, 269]


0.0055 2.07985705464 [11, 1576, 481]
0.6535 1.18044642236 [1307, 1364, 89]
0.0625 1.18514864257 [125, 370, 85]
0.1755 1.01974649078 [351, 1164, 13]
0.036 1.59987463955 [72, 868, 269]


0.0055 2.07985705464 [11, 1576, 481]
0.0625 1.18514864257 [125, 370, 85]
0.1755 1.01974649078 [351, 1164, 13]
0.036 1.59987463955 [72, 868, 269]
0.009 1.60256231977 [18, 1068, 269]


0.0055 2.07985705464 [11, 1576, 481]
0.0625 1.18514864257 [125, 370, 85]
0.1755 1.01974649078 [351, 1164, 13]
0.009 1.60256231977 [18, 1068, 269]
0.006 1.54009901185 [12, 869, 241]
0.118 1.11112376163 [236, 1466, 53]


0.0055 2.07985705464 [11, 1576, 481]
0.0625 1.18514864257 [125, 370, 85]
0.1755 1.01974649078 [351, 1164, 13]
0.006 1.54009901185 [12, 869, 241]
0.118 1.11112376163 [236, 1466, 53]
0.088 1.17728072026 [176, 10, 82]


0.0055 2.07985705464 [11, 1576, 481]
0.0625 1.18514864257 [125, 370, 85]
0.1755 1.01974649078 [351, 1164, 13]
0.006 1.54009901185 [12, 869, 241]
0.118 1.11112376163 [236, 1466, 53]
0.088 1.17728072026 [176, 10, 82]


0.0055 2.07985705464 [11, 1576, 481]
