-6.76183791955 -0.28527056684 [179, 6, 81]
-16.6163497395 -1.42683142968 [105, 109, 74]
-8.83310778198 -5.90365146332 [76, 46, 3]
-11.1276288863 -3.16214889599 [62, 50, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-8.83310778198 -5.90365146332 [76, 46, 3]
-11.1276288863 -3.16214889599 [62, 50, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-8.83310778198 -5.90365146332 [76, 46, 3]
-11.1276288863 -3.16214889599 [62, 50, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-8.83310778198 -5.90365146332 [76, 46, 3]
-11.1276288863 -3.16214889599 [62, 50, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-8.83310778198 -5.90365146332 [76, 46, 3]
-12.3907074137 -3.70256230369 [153, 73, 74]


-16.6163497395 -1.42683142968 [105, 109, 74]
-8.83310778198 -5.90365146332 [76, 46, 3]
-12.3907074137 -3.70256230369 [153, 73, 74]


-16.6163497395 -1.42683142968 [105, 109, 74]
-12.3907074137 -3.70256230369 [153, 73, 74]
-17.6394245554 2.07335899667 [93, 111, 105]
-11.2980206188 -8.65852271336 [79, 134, 170]


-16.6163497395 -1.42683142968 [105, 109, 74]
-17.6394245554 2.07335899667 [93, 111, 105]
-11.2980206188 -8.65852271336 [79, 134, 170]
-14.1335080321 -7.17834364626 [136, 81, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-17.6394245554 2.07335899667 [93, 111, 105]
-11.2980206188 -8.65852271336 [79, 134, 170]
-14.1335080321 -7.17834364626 [136, 81, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-17.6394245554 2.07335899667 [93, 111, 105]
-11.2980206188 -8.65852271336 [79, 134, 170]
-14.1335080321 -7.17834364626 [136, 81, 78]


-16.6163497395 -1.42683142968 [105, 109, 74]
-17.6394245554 2.07335899667 [93, 111, 105]
-11.2980206188 -8.65852271336 [79, 134, 170]
