0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.136 2.43965297425 [68, 80, 45, 175, 138, 46, 166]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.068 1.72571593148 [34, 3, 42, 78, 66, 164, 36]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.276 1.14811296348 [138, 30, 176, 21, 42, 72, 25]
0.014 2.16265551845 [7, 96, 71, 75, 1, 107, 100]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.014 2.16265551845 [7, 96, 71, 75, 1, 107, 100]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.014 2.16265551845 [7, 96, 71, 75, 1, 107, 100]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.036 1.84670055453 [18, 30, 53, 2, 81, 20, 200]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.014 2.16265551845 [7, 96, 71, 75, 1, 107, 100]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.036 1.84670055453 [18, 30, 53, 2, 81, 20, 200]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.084 1.27275689597 [42, 80, 27, 12, 18, 32, 61]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.084 1.27275689597 [42, 80, 27, 12, 18, 32, 61]
0.008 1.53408441771 [4, 13, 5, 163, 1, 32, 3]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.086 1.21101185189 [43, 28, 26, 56, 72, 11, 14]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.084 1.27275689597 [42, 80, 27, 12, 18, 32, 61]
0.008 1.53408441771 [4, 13, 5, 163, 1, 32, 3]
0.104 1.19202973021 [52, 59, 41, 20, 47, 26, 2]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.008 1.53408441771 [4, 13, 5, 163, 1, 32, 3]
0.244 0.704163908363 [122, 46, 80, 8, 44, 3, 6]
0.052 1.17516690322 [26, 43, 13, 52, 59, 1, 1]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.008 1.53408441771 [4, 13, 5, 163, 1, 32, 3]
0.244 0.704163908363 [122, 46, 80, 8, 44, 3, 6]
0.052 1.17516690322 [26, 43, 13, 52, 59, 1, 1]
0.22 1.13661097779 [110, 42, 22, 24, 79, 15, 123]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.008 1.53408441771 [4, 13, 5, 163, 1, 32, 3]
0.244 0.704163908363 [122, 46, 80, 8, 44, 3, 6]
0.052 1.17516690322 [26, 43, 13, 52, 59, 1, 1]
0.22 1.13661097779 [110, 42, 22, 24, 79, 15, 123]
0.656 0.2761452787 [328, 70, 131, 45, 68, 28, 22]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
0.222 1.07424892959 [111, 27, 6, 40, 163, 5, 45]
0.226 0.912144052956 [113, 24, 15, 40, 37, 76, 40]
0.006 2.44957768317 [3, 234, 103, 59, 44, 35, 50]
0.008 1.53408441771 [4, 13, 5, 163, 1, 32, 3]
0.244 0.704163908363 [122, 46, 80, 8, 44, 3, 6]
0.052 1.17516690322 [26, 43, 13, 52, 59, 1, 1]
0.656 0.2761452787 [328, 70, 131, 45, 68, 28, 22]
0.218 1.11221953995 [109, 7, 120, 60, 47, 16, 39]
0.02 1.48021424278 [10, 41, 80, 4, 75, 1, 24]

0.002 2.51494389693 [1, 62, 88, 133, 159, 5, 82]
0.042 1.3000898793 [21, 61, 54, 20, 44, 8, 13]
0.43 0.61856693675 [215, 5, 87, 22, 85, 62, 26]
