-30.9705 26.913 [33, 12, 165, 4, 3, 41]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]
-72.6549 19.8574 [10, 41, 26, 2, 39, 63]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]
-72.6549 19.8574 [10, 41, 26, 2, 39, 63]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]
-72.6549 19.8574 [10, 41, 26, 2, 39, 63]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]
-72.6549 19.8574 [10, 41, 26, 2, 39, 63]
-122.1336 31.4636 [80, 28, 125, 2, 0, 10]


-67.3249 10.9449 [11, 48, 3, 6, 4, 32]
-22.5214 5.3439 [31, 14, 4, 1, 2, 9]
-101.1138 21.6563 [77, 20, 12, 7, 18, 31]
-72.6549 19.8574 [10, 41, 26, 2, 39, 63]
