
184.725 0.18125 [89, 87]
19.8225 24.205625 [72, 75]
14.4225 31.855625 [68, 75]
11.25 33.3125 [68, 74]
40.0725 15.768125 [75, 78]
8.4825 34.870625 [68, 73]
16.3125 27.828125 [70, 75]
24.9525 20.988125 [74, 75]
31.7025 18.175625 [76, 75]
62.01 10.0025 [80, 78]
151.38 0.845 [86, 86]
139.77 2.4425 [82, 88]
176.6925 0.423125 [89, 86]
52.4925 14.373125 [81, 74]
1.1925 46.548125 [69, 66]
101.6325 4.158125 [82, 83]
44.865 14.71625 [79, 75]
80.0325 7.758125 [78, 83]
66.8025 8.950625 [80, 79]
160.2225 0.805625 [88, 85]
123.3 2.825 [82, 86]
202.005 0.00125 [89, 89]

