-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-12.1095884219 -4.46402030028 [144, 59, 97]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-12.1095884219 -4.46402030028 [144, 59, 97]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-12.1095884219 -4.46402030028 [144, 59, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
-18.1478411737 1.51632513856 [109, 93, 104]
-13.9882972758 -5.79307695656 [51, 94, 77]


-10.5029606759 -7.0904891743 [83, 52, 36]
-16.9084652416 -0.925050351126 [131, 97, 97]
-14.7826268861 -2.48082028717 [78, 119, 75]
