0.0 3.4 [0, 2, 0, 4, 1, 1, 2, 0, 2, 0]
0.8 3.0 [4, 3, 3, 3, 0, 1, 0, 4, 4, 2]
0.6 1.97171431429 [3, 3, 1, 3, 0, 1, 0, 0, 4, 0]
0.4 2.56711719941 [2, 2, 2, 1, 0, 3, 0, 2, 0, 4]

0.0 3.4 [0, 2, 0, 4, 1, 1, 2, 0, 2, 0]
0.6 1.97171431429 [3, 3, 1, 3, 0, 1, 0, 0, 4, 0]
0.4 2.56711719941 [2, 2, 2, 1, 0, 3, 0, 2, 0, 4]
0.8 1.90294372515 [4, 1, 1, 2, 2, 1, 1, 1, 3, 1]

0.0 3.4 [0, 2, 0, 4, 1, 1, 2, 0, 2, 0]
0.6 1.97171431429 [3, 3, 1, 3, 0, 1, 0, 0, 4, 0]
0.4 2.56711719941 [2, 2, 2, 1, 0, 3, 0, 2, 0, 4]
0.8 1.90294372515 [4, 1, 1, 2, 2, 1, 1, 1, 3, 1]

0.0 3.4 [0, 2, 0, 4, 1, 1, 2, 0, 2, 0]
0.6 1.97171431429 [3, 3, 1, 3, 0, 1, 0, 0, 4, 0]
0.8 1.90294372515 [4, 1, 1, 2, 2, 1, 1, 1, 3, 1]
0.2 2.92822021129 [1, 2, 0, 0, 2, 0, 1, 3, 3, 3]
0.4 2.4 [2, 1, 2, 1, 2, 2, 0, 2, 0, 3]

0.0 3.4 [0, 2, 0, 4, 1, 1, 2, 0, 2, 0]
0.6 1.97171431429 [3, 3, 1, 3, 0, 1, 0, 0, 4, 0]
0.8 1.90294372515 [4, 1, 1, 2, 2, 1, 1, 1, 3, 1]
0.2 2.92822021129 [1, 2, 0, 0, 2, 0, 1, 3, 3, 3]
0.4 2.4 [2, 1, 2, 1, 2, 2, 0, 2, 0, 3]

0.0 3.4 [0, 2, 0, 4, 1, 1, 2, 0, 2, 0]
0.6 1.97171431429 [3, 3, 1, 3, 0, 1, 0, 0, 4, 0]
0.8 1.90294372515 [4, 1, 1, 2, 2, 1, 1, 1, 3, 1]
0.2 2.92822021129 [1, 2, 0, 0, 2, 0, 1, 3, 3, 3]
