0.0 5.4 [0, 4, 1, 0, 4, 2, 3, 3, 3, 2]
0.0 3.2 [0, 1, 4, 1, 3, 0, 0, 0, 0, 2]
0.2 3.105572809 [1, 1, 4, 0, 1, 0, 1, 3, 2, 3]
0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]

0.0 3.2 [0, 1, 4, 1, 3, 0, 0, 0, 0, 2]
0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]
0.6 1.97171431429 [3, 2, 0, 2, 0, 0, 1, 3, 2, 2]
0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]

0.0 3.2 [0, 1, 4, 1, 3, 0, 0, 0, 0, 2]
0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]
0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]

0.0 3.2 [0, 1, 4, 1, 3, 0, 0, 0, 0, 2]
0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]
0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]

0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]
0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]

0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]
0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]

0.8 1.15777948981 [4, 1, 0, 2, 2, 0, 1, 0, 0, 2]
0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]

0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]

0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]

0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]

0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]

0.2 2.05166852265 [1, 1, 0, 2, 0, 0, 4, 0, 1, 1]
0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]

0.6 1.50385186032 [3, 1, 1, 2, 1, 0, 2, 0, 0, 2]
0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]
0.2 1.87888974491 [1, 2, 0, 1, 0, 0, 3, 0, 1, 1]

0.0 3.0 [0, 2, 0, 1, 0, 0, 0, 0, 4, 3]
0.8 1.01435935394 [4, 1, 0, 0, 0, 0, 0, 4, 2, 0]
0.2 1.87888974491 [1, 2, 0, 1, 0, 0, 3, 0, 1, 1]
0.4 1.74169947557 [2, 1, 2, 1, 1, 0, 0, 0, 3, 1]
0.6 1.35100040032 [3, 2, 0, 0, 0, 0, 0, 1, 3, 2]

0.2 1.87888974491 [1, 2, 0, 1, 0, 0, 3, 0, 1, 1]
0.4 1.74169947557 [2, 1, 2, 1, 1, 0, 0, 0, 3, 1]
