-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-34.8548 10.2245 [22, 50, 7, 6, 4, 1]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-103.8823 13.1715 [3, 7, 89, 3, 24, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-286.0641 72.1961 [105, 118, 2, 16, 17, 20]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-103.8823 13.1715 [3, 7, 89, 3, 24, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-358.193 66.0243 [115, 26, 71, 91, 133, 1]
-953.2442 84.1214 [163, 51, 35, 14, 21, 2]
-1194.2838 116.5966 [177, 59, 23, 0, 172, 0]
-103.0417 6.165 [2, 33, 0, 10, 7, 1]
-1096.0802 104.9562 [173, 1, 4, 124, 14, 4]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-103.8823 13.1715 [3, 7, 89, 3, 24, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-953.2442 84.1214 [163, 51, 35, 14, 21, 2]
-1194.2838 116.5966 [177, 59, 23, 0, 172, 0]
-103.0417 6.165 [2, 33, 0, 10, 7, 1]
-1096.0802 104.9562 [173, 1, 4, 124, 14, 4]
-103.5389 12.1057 [2, 0, 42, 17, 48, 6]
-561.9977 57.213 [134, 26, 4, 17, 13, 43]
-999.1984 79.4484 [166, 14, 13, 16, 1, 2]
-549.2109 54.5334 [133, 0, 25, 26, 10, 1]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-103.8823 13.1715 [3, 7, 89, 3, 24, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-1194.2838 116.5966 [177, 59, 23, 0, 172, 0]
-103.0417 6.165 [2, 33, 0, 10, 7, 1]
-1096.0802 104.9562 [173, 1, 4, 124, 14, 4]
-103.5389 12.1057 [2, 0, 42, 17, 48, 6]
-561.9977 57.213 [134, 26, 4, 17, 13, 43]
-999.1984 79.4484 [166, 14, 13, 16, 1, 2]
-549.2109 54.5334 [133, 0, 25, 26, 10, 1]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-1194.2838 116.5966 [177, 59, 23, 0, 172, 0]
-103.0417 6.165 [2, 33, 0, 10, 7, 1]
-1096.0802 104.9562 [173, 1, 4, 124, 14, 4]
-561.9977 57.213 [134, 26, 4, 17, 13, 43]
-999.1984 79.4484 [166, 14, 13, 16, 1, 2]
-549.2109 54.5334 [133, 0, 25, 26, 10, 1]
-90.3495 5.6027 [5, 3, 13, 17, 11, 10]
-105.008 10.4592 [2, 0, 27, 8, 44, 4]
-571.9133 70.5761 [136, 4, 20, 123, 3, 2]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-1194.2838 116.5966 [177, 59, 23, 0, 172, 0]
-103.0417 6.165 [2, 33, 0, 10, 7, 1]
-1096.0802 104.9562 [173, 1, 4, 124, 14, 4]
-561.9977 57.213 [134, 26, 4, 17, 13, 43]
-999.1984 79.4484 [166, 14, 13, 16, 1, 2]
-549.2109 54.5334 [133, 0, 25, 26, 10, 1]
-105.008 10.4592 [2, 0, 27, 8, 44, 4]
-571.9133 70.5761 [136, 4, 20, 123, 3, 2]
-100.7942 5.3167 [3, 34, 3, 3, 0, 7]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
-1194.2838 116.5966 [177, 59, 23, 0, 172, 0]
-103.0417 6.165 [2, 33, 0, 10, 7, 1]
-1096.0802 104.9562 [173, 1, 4, 124, 14, 4]
-561.9977 57.213 [134, 26, 4, 17, 13, 43]
-999.1984 79.4484 [166, 14, 13, 16, 1, 2]
-549.2109 54.5334 [133, 0, 25, 26, 10, 1]
-105.008 10.4592 [2, 0, 27, 8, 44, 4]
-571.9133 70.5761 [136, 4, 20, 123, 3, 2]
-100.7942 5.3167 [3, 34, 3, 3, 0, 7]
-1430.875 155.2167 [191, 12, 168, 79, 8, 105]
-1521.9778 259.5995 [193, 198, 168, 181, 1, 29]
-226.1078 48.629 [97, 14, 133, 1, 81, 10]


-1270.1475 118.33 [183, 39, 0, 95, 5, 67]
-133.2537 24.3178 [84, 1, 4, 20, 17, 7]
-180.5003 30.8535 [91, 11, 76, 3, 14, 2]
-111.6214 13.3439 [1, 1, 12, 6, 4, 59]
